"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U102","TI_DQC_R_PWSON_N10","3913.386mil","507.874mil","3913.386mil","507.874mil","3952.756mil","468.504mil","T","180.00","TPS62177DQCT"
"SW301","SWITCH_TS-1187A","4120.079mil","998.031mil","4228.346mil","1070.866mil","4228.346mil","1070.866mil","T","270.00","TL3342F160QG/TR"
"SW101","SWITCH_TS-1187A","4419.291mil","998.032mil","4311.024mil","925.197mil","4311.024mil","925.197mil","T","90.00","TL3342F160QG/TR"
"R338","RESC1005N","854.331mil","822.835mil","854.331mil","822.835mil","830.709mil","822.835mil","T","360.00","5.1k, 1%"
"Q103","SOT23-3N","2574.803mil","110.236mil","2574.803mil","110.236mil","2537.401mil","72.835mil","T","90.00","BSS138"
"Q102","SOT23-3N","2712.598mil","110.236mil","2712.598mil","110.236mil","2675.197mil","72.835mil","T","90.00","BSS138"
"L101","COILCRAFT_LPS4018","3744.095mil","519.685mil","3744.095mil","519.685mil","3807.087mil","456.693mil","T","90.00","10uH LPS4018-103"
"D308","SOD123","4118.11mil","657.48mil","4118.11mil","657.48mil","4118.11mil","724.409mil","B","270.00","BAT54T1G"
"D307","SOT23-3N","4082.677mil","688.976mil","4082.677mil","688.976mil","4120.079mil","726.378mil","T","270.00","BAS16"
"D101","SOD123","4118.11mil","429.134mil","4118.11mil","429.134mil","4118.11mil","362.205mil","B","90.00","BAT54T1G"
"C118","CAPC3225N","3921.26mil","665.354mil","3921.26mil","665.354mil","3864.173mil","665.354mil","T","360.00","22uF, 25V, X5R, 10%"
"C117","CAPC1608N","4007.874mil","535.433mil","4007.874mil","535.433mil","4007.874mil","503.937mil","T","90.00","2.2uF, 25V, 10% X5R"
"Y100","ABS07-120","3637.795mil","751.968mil","3637.795mil","751.968mil","3687.008mil","751.968mil","T","180.00","Abracon ABS07-120-32.768KHZ-T 6pF CL"
"U301","TSSOP50P640-44N","1072.835mil","531.496mil","1072.835mil","531.496mil","1279.527mil","640.748mil","T","270.00","BQ20Z95DBT"
"U300","TSOP65P640-16AN","783.465mil","1417.323mil","783.465mil","1417.323mil","671.26mil","1506.89mil","T","360.00","bq77PL157A4225"
"U200","TI_R-PVQFN-N34","3003.937mil","448.819mil","3003.937mil","448.819mil","3072.835mil","340.551mil","T","180.00","BQ24765RUV"
"U101","SOT26A-6N","1582.677mil","1244.094mil","1582.677mil","1244.094mil","1629.921mil","1206.693mil","T","180.00","DAC081C081CIMK"
"U100","TSQFP50P900X900-48N","3695.534mil","1077.307mil","3695.534mil","1077.307mil","3587.266mil","917.858mil","T","90.00","STM32F101C8T6"
"SW300","SWITCH_TS-1187A","4419.291mil","1242.126mil","4527.559mil","1314.961mil","4527.559mil","1314.961mil","T","270.00","TL3342F160QG/TR"
"SW100","SWITCH_TS-1187A","4120.079mil","1242.126mil","4011.811mil","1169.291mil","4011.811mil","1169.291mil","T","90.00","TL3342F160QG/TR"
"R337","RESC1005N","2334.646mil","1326.772mil","2334.646mil","1326.772mil","2334.646mil","1303.15mil","B","90.00","10k, 1%"
"R336","RESC1005N","1972.441mil","1326.772mil","1972.441mil","1326.772mil","1972.441mil","1303.15mil","B","90.00","10k, 1%"
"R335","RESC1005N","1826.772mil","1326.772mil","1826.772mil","1326.772mil","1826.772mil","1303.15mil","B","90.00","61.9k, 1%"
"R334","RESC1005N","969.488mil","516.732mil","969.488mil","516.732mil","945.866mil","516.732mil","B","360.00","100k, 1%"
"R333","RESC1005N","2232.284mil","1326.772mil","2232.284mil","1326.772mil","2232.284mil","1303.15mil","B","90.00","61.9k, 1%"
"R332","RESC1005N","2283.465mil","1326.772mil","2283.465mil","1326.772mil","2283.465mil","1350.394mil","B","270.00","8.45k, 1%"
"R331","RESC1005N","1874.016mil","1326.772mil","1874.016mil","1326.772mil","1874.016mil","1350.394mil","B","270.00","8.45k, 1%"
"R330","RESC1005N","1118.11mil","827.756mil","1118.11mil","827.756mil","1094.488mil","827.756mil","T","360.00","1k, 1%"
"R329","RESC1005N","877.953mil","744.094mil","877.953mil","744.095mil","901.575mil","744.094mil","T","180.00","0 ohm"
"R328","RESC1005N","675.197mil","413.386mil","675.197mil","413.386mil","675.197mil","389.764mil","T","90.00","100, 1%"
"R327","RESC1005N","950.787mil","753.937mil","950.787mil","753.937mil","950.787mil","730.315mil","T","90.00","0 ohm"
"R326","RESC1005N","1072.834mil","733.268mil","1072.835mil","733.268mil","1096.457mil","733.268mil","T","180.00","0 ohm"
"R325","RESC1005N","767.716mil","425.197mil","767.716mil","425.197mil","767.716mil","401.575mil","T","90.00","100, 1%"
"R324","RESC1005N","1072.834mil","780.512mil","1072.835mil","780.512mil","1096.457mil","780.512mil","T","180.00","100k, 1%"
"R323","RESC1005N","1393.701mil","496.063mil","1393.701mil","496.063mil","1370.079mil","496.063mil","T","360.00","100k, 1%"
"R322","RESC1005N","1393.701mil","543.307mil","1393.701mil","543.307mil","1370.079mil","543.307mil","T","360.00","100k, 1% (DNP)"
"R321","RESC1005N","1393.701mil","590.551mil","1393.701mil","590.551mil","1417.323mil","590.551mil","T","180.00","5.1k, 1% (DNP)"
"R320","RESC1005N","1393.701mil","637.795mil","1393.701mil","637.795mil","1417.323mil","637.795mil","T","180.00","5.1k, 1%"
"R319","RESC1005N","1393.701mil","685.039mil","1393.701mil","685.039mil","1417.323mil","685.039mil","T","180.00","1k, 1%"
"R318","RESC1005N","492.126mil","1259.843mil","492.126mil","1259.842mil","468.504mil","1259.843mil","T","360.00","1k, 1%"
"R317","RESC1005N","364.173mil","1112.205mil","364.173mil","1112.205mil","340.551mil","1112.205mil","T","360.00","100, 1%"
"R316","RESC1005N","364.173mil","1210.63mil","364.173mil","1210.63mil","340.551mil","1210.63mil","T","360.00","100, 1%"
"R315","RESC1005N","364.173mil","1309.055mil","364.173mil","1309.055mil","340.551mil","1309.055mil","T","360.00","100, 1%"
"R314","RESC1005N","364.173mil","1407.48mil","364.173mil","1407.48mil","340.551mil","1407.48mil","T","360.00","100, 1%"
"R313","RESC1005N","364.173mil","1505.906mil","364.173mil","1505.906mil","340.551mil","1505.906mil","T","360.00","100, 1%"
"R312","RESC1005N","492.126mil","1358.268mil","492.126mil","1358.268mil","468.504mil","1358.268mil","T","360.00","1k, 1%"
"R311","RESC1005N","1566.929mil","1098.425mil","1566.929mil","1098.425mil","1543.307mil","1098.425mil","T","360.00","1M, 1%"
"R310","RESC1005N","492.126mil","1456.693mil","492.126mil","1456.693mil","468.504mil","1456.693mil","T","360.00","1k, 1%"
"R309","RESC1005N","893.701mil","1551.181mil","893.701mil","1551.181mil","870.079mil","1551.181mil","T","360.00","1k, 1%"
